epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1711.84,0.42249,0.28093,0.92195,0.99968,1,0.995,0.9551,0.32338,0.2026,0.88022,0.000338667,0.000338667,0.000338667
104,1726.52,0.42101,0.2791,0.91408,0.99968,1,0.995,0.94926,0.32836,0.1969,0.88036,0.000337321,0.000337321,0.000337321
105,1742.36,0.41322,0.27696,0.9261,0.99961,1,0.995,0.93908,0.35322,0.21429,0.90168,0.000335974,0.000335974,0.000335974
106,1758.41,0.43048,0.28591,0.94113,0.99953,1,0.995,0.93803,0.36404,0.21011,0.90017,0.000334628,0.000334628,0.000334628
107,1774.88,0.42522,0.28605,0.92004,0.99957,1,0.995,0.93913,0.35647,0.21259,0.89943,0.000333282,0.000333282,0.000333282
108,1790.9,0.41024,0.28265,0.91773,0.99965,1,0.995,0.95104,0.32848,0.19502,0.8822,0.000331935,0.000331935,0.000331935
109,1806.49,0.40361,0.28548,0.92225,0.99968,1,0.995,0.94551,0.34989,0.20341,0.89975,0.000330589,0.000330589,0.000330589
110,1820.88,0.4157,0.2931,0.92186,0.99411,0.99089,0.99467,0.95229,0.32751,0.20866,0.88308,0.000329242,0.000329242,0.000329242
111,1835.4,0.42286,0.27769,0.93162,0.9996,1,0.995,0.95195,0.32905,0.19541,0.88496,0.000327896,0.000327896,0.000327896
112,1851.09,0.39945,0.26163,0.91063,0.99932,1,0.995,0.9485,0.33646,0.19923,0.88035,0.00032655,0.00032655,0.00032655
113,1867.63,0.42697,0.29512,0.9319,0.99957,1,0.995,0.95399,0.31473,0.19638,0.87637,0.000325203,0.000325203,0.000325203
114,1883.57,0.42105,0.27991,0.92646,0.99953,1,0.995,0.9528,0.31489,0.19425,0.87932,0.000323857,0.000323857,0.000323857
115,1898.91,0.41887,0.27333,0.93009,0.99954,1,0.995,0.94669,0.34604,0.20355,0.89235,0.00032251,0.00032251,0.00032251
116,1914.92,0.40832,0.2701,0.91686,0.99942,1,0.995,0.9517,0.32292,0.19601,0.87899,0.000321164,0.000321164,0.000321164
117,1930.45,0.41856,0.25935,0.9286,0.99865,1,0.995,0.96349,0.30648,0.1909,0.86929,0.000319818,0.000319818,0.000319818
118,1944.87,0.41719,0.26917,0.9193,0.99892,1,0.995,0.95771,0.32319,0.19347,0.87691,0.000318471,0.000318471,0.000318471
