               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.032311,            0.009124,            0.003677,             0.01452,             0.22667,             0.01212,           0.0042003,            0.022323,           0.0045776,           0.0029302,           0.0088318,           0.0088318,           0.0088318
                  61,            0.031565,           0.0099063,           0.0038345,            0.019825,             0.29333,            0.021402,           0.0041167,            0.022392,           0.0046525,           0.0029131,            0.008812,            0.008812,            0.008812
                  62,             0.03135,           0.0092474,           0.0039665,            0.021864,             0.28667,            0.022865,           0.0045726,            0.025376,           0.0047628,           0.0028729,           0.0087922,           0.0087922,           0.0087922
                  63,            0.031195,           0.0086614,           0.0039227,            0.016276,                0.24,            0.013988,           0.0036569,             0.02531,           0.0046817,           0.0027956,           0.0087724,           0.0087724,           0.0087724
                  64,            0.030697,           0.0092155,           0.0038258,            0.028613,             0.33333,            0.025395,            0.011214,            0.020122,           0.0046033,           0.0028472,           0.0087526,           0.0087526,           0.0087526
                  65,            0.030684,           0.0082952,           0.0036275,            0.021303,             0.33333,            0.017016,           0.0050223,            0.022657,           0.0049282,           0.0028171,           0.0087328,           0.0087328,           0.0087328
                  66,            0.030642,           0.0084524,           0.0035156,            0.017882,             0.28667,            0.014406,           0.0045765,            0.020778,           0.0048931,           0.0029345,            0.008713,            0.008713,            0.008713
                  67,            0.029535,           0.0084269,           0.0038645,            0.012658,                 0.2,            0.015306,           0.0057593,            0.022187,           0.0046231,           0.0028994,           0.0086932,           0.0086932,           0.0086932
                  68,             0.03057,           0.0082616,            0.003605,            0.014125,                0.24,            0.014328,           0.0039931,            0.030613,            0.004691,           0.0029292,           0.0086734,           0.0086734,           0.0086734
                  69,            0.031091,           0.0088444,           0.0038154,            0.018439,                0.34,            0.019174,           0.0032716,            0.020206,           0.0043879,           0.0028997,           0.0086536,           0.0086536,           0.0086536
                  70,            0.027399,           0.0088073,           0.0037212,            0.020452,                0.34,            0.020725,           0.0049057,            0.019466,           0.0043183,           0.0028841,           0.0086338,           0.0086338,           0.0086338
                  71,            0.027675,           0.0086143,           0.0035625,            0.019566,                0.02,            0.010872,           0.0023118,             0.02133,           0.0042324,           0.0027457,            0.008614,            0.008614,            0.008614
                  72,            0.029922,           0.0086368,           0.0036935,            0.018629,             0.38667,             0.03459,           0.0052757,            0.019197,            0.004168,           0.0028309,           0.0085942,           0.0085942,           0.0085942
                  73,            0.029292,           0.0082883,            0.003714,            0.018876,                0.02,            0.012319,           0.0021868,            0.017092,           0.0041393,           0.0028323,           0.0085744,           0.0085744,           0.0085744
                  74,            0.027117,           0.0081766,           0.0036658,            0.019173,                0.02,           0.0078954,           0.0016146,            0.015419,           0.0039943,           0.0026919,           0.0085546,           0.0085546,           0.0085546
                  75,            0.028141,           0.0086984,           0.0034144,            0.011119,             0.13333,           0.0088971,           0.0018121,            0.018012,           0.0041756,           0.0025708,           0.0085348,           0.0085348,           0.0085348
                  76,            0.029117,           0.0087668,           0.0033246,            0.012014,                0.14,            0.010523,           0.0022884,             0.01979,           0.0045948,           0.0027521,            0.008515,            0.008515,            0.008515
                  77,            0.028309,           0.0090524,           0.0034975,            0.011856,             0.13333,           0.0089646,            0.002325,            0.023145,           0.0047031,           0.0027586,           0.0084952,           0.0084952,           0.0084952
                  78,            0.029763,           0.0092533,           0.0035803,            0.034301,             0.38667,            0.027533,           0.0097633,            0.021516,           0.0050392,            0.002643,           0.0084754,           0.0084754,           0.0084754
                  79,            0.024926,           0.0083234,           0.0033601,             0.01555,             0.17333,            0.013441,           0.0035335,            0.020091,           0.0044525,           0.0024239,           0.0084556,           0.0084556,           0.0084556
                  80,            0.029351,           0.0085252,            0.003152,            0.030592,                0.32,            0.038997,           0.0057904,            0.021084,            0.004378,            0.002428,           0.0084358,           0.0084358,           0.0084358
                  81,            0.028358,           0.0083089,           0.0032705,            0.016507,             0.15333,            0.021989,           0.0068725,             0.01873,           0.0042501,           0.0024458,            0.008416,            0.008416,            0.008416
                  82,            0.026545,           0.0079645,           0.0034414,            0.018764,                0.14,            0.016352,           0.0038114,            0.019395,           0.0040603,           0.0024653,           0.0083962,           0.0083962,           0.0083962
                  83,            0.027906,           0.0076927,           0.0037727,            0.016342,                0.02,           0.0082829,           0.0022775,             0.01943,            0.004231,            0.002555,           0.0083764,           0.0083764,           0.0083764
                  84,            0.028219,           0.0087084,           0.0036583,            0.016783,                0.22,            0.022691,            0.005515,            0.018371,           0.0039989,           0.0026487,           0.0083566,           0.0083566,           0.0083566
                  85,            0.027016,           0.0077141,           0.0032789,              0.0152,             0.16667,             0.01231,           0.0031473,             0.02003,           0.0042255,            0.002617,           0.0083368,           0.0083368,           0.0083368
                  86,            0.028328,           0.0090362,           0.0033083,            0.020209,                0.02,           0.0068034,           0.0015052,            0.022994,           0.0045603,           0.0026435,            0.008317,            0.008317,            0.008317
                  87,            0.027568,           0.0086897,           0.0036327,            0.075173,                0.54,             0.07756,            0.013621,            0.019429,           0.0043854,           0.0025872,           0.0082972,           0.0082972,           0.0082972
                  88,            0.028082,           0.0082938,           0.0033474,            0.056836,                0.44,            0.045725,           0.0086058,            0.019813,           0.0044717,           0.0025974,           0.0082774,           0.0082774,           0.0082774
                  89,            0.027772,            0.008384,           0.0034954,            0.035611,             0.29333,            0.028485,            0.014087,            0.019764,           0.0042918,           0.0027846,           0.0082576,           0.0082576,           0.0082576
                  90,             0.02616,            0.008109,           0.0035181,            0.022316,                0.02,           0.0098657,            0.002367,            0.017859,           0.0042206,           0.0028366,           0.0082378,           0.0082378,           0.0082378
                  91,            0.025629,           0.0087525,           0.0032343,            0.021995,                0.16,            0.014624,           0.0036734,            0.018533,           0.0041281,           0.0026007,            0.008218,            0.008218,            0.008218
                  92,            0.026381,            0.008409,           0.0030928,            0.026438,             0.24667,             0.02927,            0.011575,            0.017872,           0.0041211,           0.0025554,           0.0081982,           0.0081982,           0.0081982
                  93,            0.023588,           0.0082422,           0.0031196,            0.024069,             0.29333,            0.025604,           0.0049938,            0.018291,           0.0039849,           0.0024465,           0.0081784,           0.0081784,           0.0081784
